日期,地区,品类,销售额(元),利润(元),数量
2025-06-03,华东,数码,12800,1920,4
2025-06-05,华南,服饰,3250,812.5,25
2025-06-08,华北,食品,860,120.4,40
2025-06-12,华东,家居,5400,1080,18
2025-06-15,西南,数码,21500,3225,7
2025-06-18,华南,食品,1280,256,60
2025-06-21,华东,服饰,7800,1560,39
2025-06-25,华北,数码,9900,1485,3
2025-06-28,西南,家居,3200,640,16
2025-07-02,华东,食品,1540,231,77
2025-07-05,华南,数码,16800,2520,6
2025-07-08,华北,服饰,4100,820,28
2025-07-12,西南,数码,18900,2835,8
2025-07-15,华东,家居,4600,920,15
2025-07-18,华南,食品,980,147,52
2025-07-22,华北,数码,11200,1680,5
2025-07-25,西南,服饰,3600,720,30
2025-07-28,华东,数码,24700,3705,9
2025-08-02,华南,家居,5100,1020,20
2025-08-05,华北,食品,1150,172.5,58
2025-08-09,西南,数码,15300,2295,6
2025-08-12,华东,服饰,6900,1380,33
2025-08-16,华南,数码,12900,1935,5
2025-08-19,华北,家居,3800,760,19
2025-08-22,西南,食品,720,,36
2025-08-25,华东,数码,20100,3015,8
2025-08-28,华南,服饰,4500,900,27
2025-08-31,华北,数码,8800,1320,4
2025-09-03,西南,家居,2900,580,14
2025-09-06,华东,食品,1350,202.5,66
